Name,Gender,score,comments
Patricia McKee,female,1,"[""Lots of awkward silences because she never seemed to prepare lectures. She's also the only prof I've ever had who used students' personal analyses in her few lectures, taking the credit for herself. Least ethical prof I've ever had. If you do have her -- you get the highest essay grades for regurgitating material."", 'No Comments', 'Professor McKee is really smart and really helpful at the same time. She really cares about her students and is very sincere.', 'No Comments']"
Terry Osborne,female,1,"['bad', ""If you are one of the lucky few who landed in Prof O's freshman comp or freshman seminar, lucky, lucky you. He will push you to think more deeply about things you previously have not examined. I love him. When I look back at my Dartmouth experience (I'm a 98) he stands out as much as a walk across the green, coffee from rosey's cafe."", 'Fantastic.', 'No Comments', 'Prof O is as commited to his students as any prof I have ever known. He is passionate about what he does (writing) and is passionate about helping students become better writers and to know themselves better. Highly recommended. Essential to my Dartmouth experience.', ""One of the ONLY reasons why I stayed at Dartmouth. He is a true reflection of what a professor should be. Challenging, out-of-the box strategies (he took us to his home during the winter so we could experience some of Robert Frost's metaphors)!"", 'Prof. O was great. I really enjoyed class with him and would actually consider going to him for help with other classes in the future.']"
Allen Koop,male,1,"['Very interesting topic but not advised to take freshman year... great structure and straightforward. Speak up, skim readings and you will be just fine.', 'Great Prof, great lectures and made the history of healthcare interesting. Speak up in the discussion sessions, dont be afraid to make your point and get to know Koop, pretty good guy.']"
Ariane Schwartz,male,1,['Great prof! Got me into the subject and ended up majoring in Classics! Such a sweet professor but also tough and fair.']
Laurence Davies,male,1,"['Professor Davies is great!', ""This man is a minor deity among profs. Never before had I been so enthralled, so engaged or so challenged. Every class I've taken with him has been interesting. Also, he's funny as heck, his off-the-cuff quips are great and he seems to know everything about everything. Each time a student brought up an obscure subject, he'd have a book on it!"", 'Does tend to ramble at times, but it can be quite interesting. His biggest weakness is that he allows students too much time to talk during class, and they end up saying foolish things. Overall, I strongly recommend him.', 'this guy rambles. absolute warning.', ""Great guy who knows his material- I enjoyed his lectures a lot. The class I had him for was painfully quiet, either because people refused to speak or Davies didn't ask the right questions. Watch out, he actually grades FAIRLY! bah!"", 'Very knowledgeable and enthusiastic.']"
Praveen Kopalle,female,1,"['Extremely engaging. Amazing energy levels. Ensures concepts are drilled in.', 'One of the best professors I have learnt from. He is able to teach the dry subject with utmost enthusiasm and insight.']"
Robert Caldwell,male,1,['Great Professor!']
Sam Levey,female,0,"['Professor Levey was terrific, a really thoughtful professor who sought to engage the class. He was also welcoming and kind in office hours --- someone striving to develop your thought process.', 'No Comments']"
John Donaghy,female,1,"['Good professor!', 'Best Professor ever! Go Dartmouth!', 'No Comments']"
Israel Reyes,male,1,"['Professor Reyes is patient, relaxed, kind, approachable, and all things lovely. He is obviously an expert in his field, but he speaks slowly so that non-native speakers can understand him. I highly recommend attending his office hours- he is really helpful and a genuinely nice guy.']"
John Pfister,male,1,"['The most helpful teacher/professor I have ever had for writing. I have grown so much as a writer through his freshman seminar. I highly recommend going in to talk with him often as his comments into writing are both insightful and informative.', 'He really cares about his students and you can tell he is passionate about the subject. I thought his jokes were funny and he tries very hard. Office hours were always helpful and he explains things very well and never makes you feel like you asked a stupid question. Good class, fantastic professor, decent amount of reading, average tests.', ""I really didn't want to take stats, but this guy made it fun. He may be the best professor I've ever had. Really cares about his students and his subject.""]"
Gretchen H. Gerzina,female,1,"['Very condescending, talked down to students a lot. Really smart woman, but was not a great professor.', ""One of the best professors I've had. Clear, informative, interesting, and genuinely cares about her students."", 'Really good professor. Made my writing much better']"
J. Martin Favor,male,1,"[""Post-modern lit- the reading is interesting, but he don't make very much sense. He enjoys speaking in riddles and contradictions. Also, you will never meet him."", 'Noy yoo bad, lots and lots of writing though. Decent- easy grader.']"
Misagh Parsa,female,1,"[""I took 2 courses with Prof. Parsa (Democracy+Development). He's the best prof ever! His courses are very interesting and he's passionate when teaching them. He's also very helpful, knowledgeable and has a great sense of humor. His courses emphasize the political and economic aspects of a given phenomenon, so if you like GOV, Parsa is the man!"", ""His personality is amazing. He'll definitely keep you entertained."", 'If you are someone seeking knowledge, someone who loves critical thinking Parsa is a wonderful professor', ""One of the best professors I've ever had. He presents things clearly and makes material exciting."", ""Parsa is a great professor at the graduate level. So long as you are open-minded and semi-aware of what you're signing up for, you will like him. He has a lot of energy and explains things in easy to understand language. Great professor."", ""Social Movements was hands down the worst class I took at Dartmouth. It sounded like an interesting course from the description, but Parsa was an awful professor. I'm a fairly liberal guy, but Parsa's lectures consisted of irrational left-wing rants and th""]"
Antonio Gomez,male,1,"[""Very enthusiastic. Excellent lectures. Inspires interest in the material. Amazing at getting every student involved in the subject. Challenges students to think very critically and grow intellectually. Rated Dartmouth's best professor for spring 2009.""]"
Nancy Jay Crumbine,female,0,"['she craazy', 'My favorite professor ever. Take this class. It will change your life. I was terrified going into it because of all the negative comments, but the work was worth it. She is the reason I have chosen to be an English major. To be fair, it is one of the hardest classes you will ever take, and you writing will be torn apart an destroyed, but in the end you will be a better writer than you could have imagined. Take this class.', 'amazing prof, this class will change your life.', ""She has high standards and assigns a lot of work, but she knows she tends to over-assign so if you talk to her she'll help you out with what you should definitely be doing and with what you might be struggling with. She's super smart, I learned SO MUCH in this class that's helped me throughout college. Can be intimidating, but actually"", 'Amazing prof.', 'Do not take this class. Do not take it.']"
Richard Wright,male,0,"['He expects you to read 100s of pages a night. Interesting course, killed my GPA though']"
George Edmondson,male,1,"[""Doesn't always lecture on the most interesting stuff, but he's knowledgeable and full of energy."", 'Professor Edmondson is wonderful!! He is the best professor: so brilliant, insightful, and genuine. And it is obvious he cares about his students and wants everyone to feel involved and welcome in his class. He is an ideal professor!', ""Professor Edmondson is great!! I can come into class on a monday morning just wanting to go home and sleep, and leave feeling invigorated, and excited about literature. He's young, funny, and very helpful.Take his classes, you won't regret it!""]"
Yale Cohen,male,0,"['Really goooood', 'No Comments', ""In his own words, he drinks 7 caffeinated soft drinks before 10 in the morning! He has very little attention span for anything to do with students. He just reads his powerpoint slides but if a student has a question he gets confused and can't answer. His section of psych 1: super boring. All the other profs teaching it were great though."", 'The most boring class I ever had at Dartmouth by far. He just clicks through countless powerpoint presentations and drones on. Doesn\'t answer questions clearly. Rude to students who ask questions. Oh and is just me, or does the comment beginning with ""Dr. Cohen"" sound like it was written by him.', 'HORRIBLE! Run! Unless you actually enjoy 5 unmitigated hours of PowerPoint slides a week do NOT take a class with this guy. Far more interested in personal, esoteric research than actually teaching.', ""Dr. Cohen represents the best of Dartmouth. His enthusiasm for neuroscience is infectious and he proved to have a nearly inexhaustible patience in helping me to understand some very difficult subject matter. He's also a nice guy. The class is hard if you don’t keep up with the reading, but at least I actually learning something worth knowing."", 'Yale Cohen is a moron. He killed my enthusiasm for Neuroscience and was a terrible teacher.', 'No Comments', 'No Comments', 'No Comments']"
Xia Zhou,male,1,"['Good teacher and interesting projects', 'The project is the best I ever had.', 'The grade policy was not clear for class participation.']"
Anna Minardi,female,1,"[""Best professor I've ever had. Learning from her is a must."", 'Best professor I have had at Dartmouth. Extremely helpful and not too difficult a grader; however, the grades are not the most important part because you learn so much in her class. She is very engaging and makes a 9L so enjoyable.']"
Dwaipayan Banerjee,female,1,"[""Lots of readings if you're from the sciences like me, but learnt a lot"", ""Inspirational. Made me want to become an Anthro major. Not the easiest class, but still actually looked forward to the readings and lectures, for a change, best I've taken at Dartmouth.""]"
Leslie Butler,male,1,['Amazing prof who was always willing to help. She is nice in and out of the class. Really get to know her!']
Jonna MacKin,male,0,"['She is well-versed in critical analysis, as she has listed off her credentials multiple times in class. Still, she comes off as insecure quite often and is often wasteful of class time. She has been known to be rude, and she tends to talk around problems rather than addressing them. Students pretend to listen; syllabus very unclear.', ""She's a tough grader, that much is true. She definitely doesn't have any tolerance for things such as tardiness, missing class, missing deadlines etc...But she is also very reasonable, will work hard with you to make you a better writer, and is not out to make your life horrible. She just pushes you hard, so you can get the most out of the class.""]"
Robyn Millan,male,1,"['Not a difficult class, but Milan teacher special relativity and quantum mechanics very well. Also teaches to each student.', 'Interesting lectures. Very lenient grader.', 'Pedantic instructor, difficult to understand how she could be in an Ivy institution.']"
Russell J Rickford,male,1,['Great professor who will assign some really interesting readings and make you think about history differently. Sometimes his lectures can lose focus and can feel redundant but he is one of the nicest professors and really cares about his students. If you put in the work you will get an A.']
Peter Tse,female,1,"['Great teacher', 'he specializes in visual perception and studying visual consciousness.']"
Marcelo Gleiser,male,0,"['Inspirational!', 'Funny and really smart. E&M is boring, but Marcelo made the class interesting.', 'Even for the low teaching standards at Dartmouth, Gleiser is a marginal instructor. He seems to think to be a novel Einstein, and teaches accordingly.', 'Gleiser is an incoherent lecturer, an unfair grader, and not helpful outside of class. He is also extremely full of himself.', 'Gleiser is an excellent teacher, and occasionally funny too.']"
Brock Clarke Christensen,male,0,"['Also good visiting profs', 'Good guy, clearest of the profs who taught, not patient though', 'Decent statistics background', 'Solid research', 'Clear stats concepts, will make time to meet if necessary, gets off tangent a lot', 'Insanely nice, thoughtful, and really really helpful with everything - definitely makes personal time']"
Aden Evens,male,1,"[""One of the best professors at Dartmouth, and I say that from the other side being a professor myself now. Professor Evens (who is totally down to Earth and goes by Aden) is completely accessible, understanding, and fully invested in student learning. He cares deeply about teaching, and his knowledge is deep and interdisciplinary. New Media Fall '06"", ""Definitely one of the most inspirational professors I've ever had. Accessible outside the classroom and, as mentioned earlier, an intellectual powerhouse."", 'Awesome dude. ""Inspirational"" is what comes to mind.', ""A man among men. 20 years getting edumacated and he did it like no other. I'd take a bullet for him."", 'Aden is the best Professor I have ever had. Intellectual powerhouse. He guides his students, showing them how to pull core ideas out texts that are too deep and difficult for most profs to venture. Zero ego, he seems to actually live for his work. This guy should get his own department.', ""Aden EvEns is an awesome guy and now my advisor. I'm an English major at Dartmouth and his advise on writing and the way he grasps what I'm trying to say in a long and mangled argument is much better than any other professor here. He is incredibly smart and will work with you out side of class a lot."", 'SO awesome, whether for writing skills/the material/just life advice. Makes sure to keep class interesting, awesome discussions. Cares about his students a LOT! Definitely take at least one class with him!', 'simply superb']"
Don Pease,female,0,"['Dr. Donald Pease is to me, as Edward Said is to him. Worlds best.........', 'I feel very fortunate to have taken two classes with Professor Pease. His lectures are both entertaining and insightful, and I still think of them often, three years after graduating.', 'Awesome professor!', ""One of my favorite professors ever. Can be hard to follow sometimes but that's only because he knows so much and cares so much about the works he is discussing he has a hard time getting out evrything he wants to say."", 'Is far more interested in showing off his knowledge than helping students understand the subject. A reputation as an intellectual bully that is not completely undeserved.', 'No Comments', ""Brilliant at times, but needs to outline his lectures. Sometimes didn't even refer to the poetry we had read. There's no doubt, however, about his enthusiasm and his intellectual power (both enormous)."", 'No Comments']"
James E Dobson,male,1,"[""Dobson is alright, he's kinda funny. Also thinks he's really, really smart, so the best way to get an A is to flatter him. Frankly, his Dart history course is boring as heck, but I think that's mostly because of the W5 constraints and not his own fault."", 'Dobson is funny and smart. Office hours helpful.']"
Gordon Gribble,female,1,"['One of my favorite professors, hands down', ""Gribble's the man"", ""Organic chemistry isn't my favorite subject but Professor Gribble is just a fantastic person. Very knowledgeable and interesting."", 'Great professor! really helpful and nice. made the material really interesting.']"
David Kotz,male,0,"['Such a bad professor. Do not take it with him. Arrogant, cold, and cannot teach.', 'Took CS37 and CS78 from him. The median grade on the exams for CS37 was something like a 50, so that should tell you a lot. Did not do a great job actually teaching us the material', ""Best CS class offered. Finally a class where you don't spend 3/4 of it proving O(n) for something and only 1/4 learning real stuff that you might use! Take this class. You won't regret it.""]"
Julia Viazmenski,female,1,"[""Prof. Viazmenski is awesome. She really nice and really helpful. Her classes are always really organized and it's easy to follow along. The class itself is pretty intense. There's a lot of work every day, but she always posts the homework we have to do and is really understanding if we have to hand something in late.""]"
Irene Kacandes,male,1,['Prof Kacandes wants to see students succeed by upholding them to rigorous academic standards. Plus she is super caring and communicative. She is what a professor should be.']
Meir Kohn,male,0,"['Amazing prof. Makes you think', ""This guy is a genius. Most eye-opening class I've ever taken. It takes 6 hours of preparation for each class, but completely worth it, because it's really interesting stuff."", 'If you get an A in Econ 26 you are respected by all the alumni network.', ""One of the toughest classes I've ever taken. Not conceptually difficult but it covers a lot of material. First class I've ever read the entire textbook for. The class (socratic method)structure forces you to learn the material well. Definetly the class I've learned the most in."", 'Great professor who holds his students to a very high level. The class was very difficult but I really enjoyed it.', ""He's really hard but you'll learn a lot."", 'Practice exams and memorize his book.', 'Some students will be well advised not to watch Super bowl when it\'s review time. Don\'t blame your professor for your poor performance and bad grades. The word is ""awful,"" not ""aweful."" And it is ""nightmare,"" not ""nitemare."" This professor is very knowledgeable. Hard work pays off though.', 'Excellent Professor', ""This guy sucks! He holds office hours as early as possible to minimize the number of visits. He does absolutely NO teaching in class. The class consists of randomly selecting students to answer the questions from the textbook. And then you're graded on it. This is NOT a business school format, where there is actual discussion. There's more..."", ""Kohn isn't a great instructor, but the class format is good because it forces you to learn it on your own. Like law school format where he calls on you randomly to answer questions. But after taking the class and being a study group leader for the class I think even I could do a better job of explaining the concepts."", ""Aweful!!! The only reason I took this class was to get rid of the requirement and the professor made a bad class into a nitemare. Teaching = crap; attitude = crap. I hear dude was in the Israeli army; I wouldn't be surprised if he'd killed someone with his own hands."", ""To call this **** a jerk is an insult to all the honest jerks out there. He's lunatic. He delibrately misguided the class on a test and seemed to really get a big kick out of it."", 'yeah - he is a bit of a jerk. Teaches his class like B-school. My favorite Kohn story is that he scheduled a review during the super-bowl.', 'No Comments']"
James Dorsey,female,1,"['Great class, great professor.', 'Prof Dorsey is funny and smart. You can tell he cares about the students.', 'Jim is a great teacher. Incredibly smart and very funny.']"
Cirri Nottage,female,1,"['She is extremely knowledge about the field and her enthusiasm for teaching and learning is truly infectious. She makes the content relatable and applicable to real life situations. The class is mostly discussion-based so if you?re interested in deep, thought provoking, and challenging conversations; I highly recommend taking one of her courses.', ""She is an astounding professor.She was not only inspirational and knowledgable, she actually cared about her students and teaching.Her class has been one of my most favorite at Dartmouth.I have no idea why that review says she's horrible (sounds like someone was not happy with their grade).She is such a gifted and talented communicator. Top notch!""]"
William Lotko,male,0,['worst professor at Dartmouth by far']
James Labelle,female,1,"['Labelle is awesome. I rarely rate my professors, but felt the need to give credit where it was due. He is so enthusiastic, and excited about what he teaches, and does a fantastic job of explaining things.', ""omg. LaBelle is such a character. By far one of the best physics profs at Dartmouth. If you ever take physics here, make sure he's teaching it!!!!"", 'great prof but tests are awful']"
Michael Lurie,female,1,"[""Professor Lurie is without a doubt the best professor I've had at Dartmouth. His classes have helped me develop immensely as a thinker and have truly changed the way that I see the world. He challenges students, but the challenge is well worth it, and he works harder than any professor I know to ensure that every class is worthwhile and meaningful."", ""Michael Lurie is definitely the best professor I ever had. The passion with which he approaches every text, lecture, and conversation is electrifying. Through his high expectations for all his students he communicates his deep love and belief in both his work and those he works with. Put in the time to get to know him, he'll change your life."", ""CLST2 was an outstanding course that completely reshaped my understanding of Greek Tragedy. Professor Lurie is a dynamic, entertaining speaker who genuinely loves this subject, and his lectures are among the most informative I've encountered in Classics. Stands out as one of the best courses I've ever taken."", 'Professor Lurie is a fantastic educator and erudite professor. He has a true sense of passion for the material and always makes himself available to students whenever they need him. He expects students to work hard and put in the requisite effort, but any student who is willing to do so will be fairly rewarded.', ""This would have been a great course had I not felt personally attacked by Professor Lurie. I did not finish the course due to his blatant disrespect. He doesn't care about students' difficulties at all, it's all about the texts and material to him. If you have any personal issues that arise, do not expect him to be accommodating in any way."", ""This is one of those classes that has great potential in terms of topic but fails in delivery due to the professor. Professor Lurie is not particularly respectful towards his students (tone of voice or emails). He clearly cares a lot about the material but he doesn't care about the students. Below average classics class for Dartmouth.""]"
Peter Robbie,female,0,"['badprofessor and definitely not the best professor at Dartmouth. Not very accommodating. Very distant and seems uninterested in teaching undergraduates.', 'Best class and best professor at Dartmouth.']"
Andrew McCann,male,1,"['As it was my 2nd course with McCann, I knew what I was getting into, but was still very impressed with the quality and insights provided. The assignments were interesting and supplemented the readings well. I appreciated the insight into different literary contexts and theoretical frameworks. Very thought-provoking and life-changing. TAKE THIS.', 'Wonderful professor. Lectures are clear and insightful, assignments are reasonable, and reading is manageable (mostly poetry). He does not micromanage you with the papers (length and frequency) or attendance/participation, which I appreciated. Wry sense of humor and really caring. Most importantly, he got me invested in romanticism and poetry!', 'I have no interest in Literature or poetry, but still the classes were interesting and you have to pay attention because you can get called on randomly']"
John L. Campbell,male,1,"[""Professor Campbell's classes have great balance between well delivered lectures and facilitated class discussions. Students are evaluated in Socy 69 by 2 take home exams and 1 research project. His grading criteria is clear. Do not expect to get a good grade without doing the readings and spending time on research/writing. Expect to learn a lot!"", ""Lots of reading (a book a week or so), but Campbell chooses books that are actually interesting and relevant to the material. Campbell's a really good lecturer, but make sure you either (1) go to class or (2) have a friend who takes really good notes, because otherwise you won't have any way of getting the material."", 'No Comments']"
Stephanie Boone,female,1,"[""Boone is legendary. She's a wonderful prof and one you'll always remember! Very impactful person."", 'Awesome English Instructor!', 'She is an amazing professor! I recommend to any and everyone.']"
Colleen Boggs,male,1,"[""Says 'yeah' a lot when responding to people but it's just because she's excited and loves what she's teaching, and I've found that infectious. Really nice and willing to work with people, and also knows a ton. Loved having her."", 'One of the best at Dartmouth/']"
Jimmy WU,female,1,"['Wu teaches Chem 52 and he is a great professor, but the material is extremely difficult and he sometimes rushes thorough the material, still expecting you to understand it on exams.', 'Do not work for this guy. He sucks.', 'Awesome professor. Extremely helpful. Crystal clear. Super nice guy.', ""He's just awesome.""]"
Erland Schulson,male,0,"['Good person, fun class, beware of the time commitment', ""Professor Schulson knowns his material but is one of the worst professor I have ever encountered. Feel free to ask around as to whether or not to take his class...I'm sure most students will agree not to.""]"
Miles Blencowe,female,1,"['Greatest professor in the whole college. Seriously, the only stand-up dude I\'ve met at this place. Really knows his physics and has a very relaxed stance towards teaching. ""If you wanna learn, I am here. If you don\'t, I am not gonna complain about it."" He knows that every person lives a different life.', 'One of the kindest and greatest professors I have had at Dartmouth.']"
Amanda Loud,male,0,"['Very short; unfriendly attitude. Opinionated and unwelcoming, however very knowledgeable subject mater expert.']"
William Wade,female,0,"[""A great professor. Is hard on student who don't want to put in the effort to learn, but if asked for help he will bend over backwards to make sure that a student understands. Doesn't post lecture slides but will send to students if asked; he just doesn't want people skipping class."", 'No Comments']"
Jonathan Crewe,female,1,"['hes awesome', 'Really sweet guy. I was not paying as much attention in his class as I should and he called me to his office to let me know I should be writing better papers and that he was ready to help... really appreciated. But know that he does have high standards/is a hard grader.', 'A very charming gentleman', 'No Comments', ""He lectures for two hours twice a week. No matter how good of a lecturer you are, you can never keep students attention that long. He's brilliant and a nice guy, but he puts half of his students to sleep. He is a harsh grader, too."", 'Professor Crewe is a pleasing combination of being exceedingly erudite and ridiculously sweet.']"
Thomas Luxon,male,1,"['Luxon is a nice person, but not the greatest professor for Shakespeare. We were expected to post our questions online about each reading; he would select some of these posts to discuss in class the next day. During class, he just elaborated on our comments (very little lecture), so our learning felt scattered and too detail-oriented. But easy A.', 'great', ""He's a good professor. Very intelligent and helpful. He requires that you meet with him about one or two of your papers and do a rewrite but I did not find him to be an overbearing grader. Some however found him more difficult so I may have just been more prepared. He get's a bad rap for opposing greek life."", 'Terrible class. Rambling, whiny professor. Inconsistent grader.', ""I agree with all that has been written above, and I'd add that he knows his material better than probably every other professor I've had, something that becomes much more important at the college level, I think. Good guy, great prof."", ""Professor Luxon could have easily conducted class by lecturing on the pertinent scholarly arguments on texts. However, class was an open forum in which everyone's opinion was equal. Professor Luxon taught students how to relate to the texts with ease."", 'His lectures flew by and he always engaged the students. Great sense of humor. Always available for questions. He genuinely cared about presenting material in the most interesting and up-to-date way (good utilization of the internet and digital library).', 'A true teacher in every sense of the word. Professor Luxon really cares about the academic progress of the individual students and shows interest in the students themselves. One of the finest professors I have had at Dartmouth.', 'Poetry and Prose of John Milton (English 28), Shakespeare I (English 24), Critical Theory (Comparative Literature 72), The Merchant of Venice (Jewish Studies 40), advanced seminars in Milton, and Poetry and Prose of the Seventeenth Century (English 27).']"
Frederick Haas,male,1,"[""He's pretty much the human embodiment of jazz.""]"
Simon Shepherd,male,1,"[""Best prof I've had at Dartmouth, which is saying a lot. Clearly loves to teach, and is great at it, too. His combination of commitment and ability made scientific computing a way more enjoyable experience than it has any business being for a beginner."", '', 'No Comments']"
Mara Sabinson,male,0,"['Awful prof. Makes fun of students and completely unhelpful in and out of class. Her grading schemes often have no rigor whatsoever, and she treats her class as a joke (which makes the students treat it as a joke). Avoid this professor if at all possible.']"
John Collier,male,1,"['Awesome professor. Very interesting and fun. Helpful for projects and very easy to talk to. Cares about students and his research is very interesting. One of the great Thayer professors', 'No Comments', ""Collier rocks! Forbes sucks! I can't believe there was only one engineering prof on this site for their article. Forbes, you officially will never sell me another magazine. About Collier: enthusiastic, friendly, fun, owns a zamboni so super-cool.""]"
David Peterson,male,0,"['Great Prof', ""He's boring, unnecessarily rigid, and unhelpful. Linguistics is a fun subject, but take it with another prof.""]"
James Stanford,male,1,"['Professor Stanford made me fall in love with Linguistics. He is passionate and engaging and clearly cares about his students learning and well being. He makes class interesting and fun. If you put the time in, you will not only get an A but get a lot out of this class!']"
Kyle Dropp,male,1,['Best Prof ever. Always there for the students and ready to answer any questions. Kyle cares.']
Eric Hansen,male,1,"['He is so hard and his book is not good at all.', ""I struggled so hard in this class but Prof. Hansen was always there to help me/my partner out. He's really nice (very sweet) and really cares about doing the best for his students."", 'I have the highest regards and respect for Professor Hansen. He wrote the classroom text and teaches with the highest degrees of ethics and attention to detail.', 'No Comments']"
Barbara Dimmick,male,0,"['Barbara Dimmick was one of the best professors I had in my 4 years at Dartmouth (if not THE best). Besides being extremely helpful, she encourages creativity and runs an excellent workshop. She knows her stuff inside and out-- a wonderful professor.', 'No Comments']"
Catherine Cramer,male,0,['ugh.']
Fillia Makedon,male,0,"['I learned many things in her class about HCI that I will never forget. Thank you', 'Seriously... do the thesis.']"
