Name,Gender,score,comments
Guy Alitto,male,1,"['Professor Alitto is respected, and his experiences of visiting China and talking with Shuming Liang made him knowledgeable and confident of what he is teaching. Organized and humorous.', 'Fantastic professor.', 'He IS the wicked funny professor from the Cartoon History of the Universe series.', 'Really cool suits! resembles the pringles man, but a great teacher!', 'No Comments', 'Funny and entertaining, a great prof', 'No Comments', 'Great person!', ""I think Guy makes historiography engaging. And he's quite approachable at office hours, which can be unusual at the U of C. Clever, interesting fellow."", 'Nice guy for the most part. But his knowledge is totally outdated, and he is very disorganized. Funny and quite charming.']"
David Archer,male,1,"['Professor Archer has great lectures and a clear grading scale.', 'He is a very good and entertaining professor', 'Great prof!', 'Teaches material at level non-science students can understand. Looks just like Hugh Laurie from House M.D.', 'Very aloof. Not helpful to students. Travels too much.', ""He needs to be more approachable. It's like he lives in his own mind. Doesn't communicate."", 'He has the kindest eyes..', 'such a cute geek', 'Excellent professor. Clearly loves what he does.', 'No Comments', 'Brilliant mind! Great teacher.', 'He makes the most difficult subject so easy. What a nice person.', 'No Comments']"
Lucy Pick,male,0,"['Excellent material and help in understanding ti.', ""Dr. Pick is a good professor with a deep knowledge of her subject. She can seem a little forbidding sometimes, but Dr. Pick is always willing to spend time helping students if your questions are actually intelligent. Doesn't really suffer fools very well (and why should she?)."", ""Not a good course. Not helpful. Didn't challenge me in a meaninful way to learn."", 'I found her to be kind, helpful, and a fun teacher all around.', ""awful class,awful teacher, it's as if she;s there to discourage youfrom religious studies"", 'passion and poise, with a splash of something intoxicating. Always; perfect lips', 'she is an awful teacher, only knows about medieval christianity']"
Amy Dru Stanley,female,1,"[""Take her classes and try to get her as a BA advisor. She's passionate about history and challenging, but committed to students'."", 'awesome professor. have had her for a couple of courses, one of the best at u of c. Makes you think and understand past and present.', 'She is great - really, smart, interesting and interested in all her students, passionate about history, really helpful about listening to students questions and issues. Shows great art in class. Compassionate! let me have an extension.', 'This is the most overrated professor at the university. Those who care to take a closer look will find she is not smart. She thinks in black & white categories and is incapable of nuance not just in History but also in how she judges her students. NOT recommended unless you want to grovel to become a ""favorite.""', ""She's brilliant but she is extremely mean.""]"
Kelly Austin,male,0,"['uh. stick to teaching spanish. the humanities are not for you', 'Horrible', 'No Comments', 'No Comments', 'Kelly is very nice and very very intelligent.']"
Frank Merritt,male,0,"['Great class. The material is extremely interesting, although the pace is questionable, since the same material is covered in a quarter, that would take a semester (or longer) in most other schools.', ""He is a god awful lecturer and completely opaque when it comes to his tests. He assigned a midterm on material we were not done covering only a week ahead, where we were expected to know about 100 problem types and only would be graded on 5. A disaster of a class if you don't already know the course, but then why would you take it anyway?"", ""He's an exceptionally nice guy with his heart in all the right places. His trouble, however, lies in his lack of ability to gauge students' understanding. He provided a very thorough introduction to physics though."", ""Merrit is an easy-going guy. But he's not really an amazing instructor, though he's really nice."", 'Honors Physics was my first physics course ever, but I had an extensive math background. As such, I found thinking in a ""physics way"" the hardest part of all and thought Merritt did a good job of bringing that to the table. I can definitely see people who hadn\'t had more advanced math might be overwhelmed.', ""Nice guy but is disconnected with the real world. Doesn't understand the ability of his students, and consequently crams huge amts. of material. Once sent an email about the final exam roughly 8 hr (midnite) before it began."", ""Pretty bad. Can't make the class at an appropriate level of difficulty if his life depended on it. Either it was exceedingly easy (if one had a strong physics background) or exceedingly hard. Skipped office hrs all of reading period."", ""Lectures are bad. Throws up all sorts of derivations but doesn't explain. Doesn't teach in an intuitive way. Very patient and nice tho. Has high expectations of the students. As others say, solution for a single problem was 3 pg long.i.e expects alot!"", ""As others say, he's helpful during office hrs, but very hard. Expectations are sorta unreasonable at times (i.e. on one problem set, the solution ended up being 3.5 pgs long). Tests are crazy hard too. Don't take unless you had solid hs physics."", ""Nice guy, but very hard. Lectures are difficult to understand if you haven't read the book previously. Good at office hrs. He's very, very, very tough. Merritt's Physics is a very hard version of 130s...""]"
Michael Labarbera,female,1,"['LaB has probably been my favorite professor at this school. He kept the lectures up to date with the primary literature and was very much invested in making sure we learned. Class consisted of weekly lecture quizzes, lab quizzes, and a lab practical final. All were very fair. Extra time before the quiz was granted. His goal was that we all learned.', 'I was a (disgruntled) bio major (no, not pre-med!) and this was my BEST biology experience, by far. It was a reminder of why I wanted to take biology. Mike is highly knowledgeable and enthusiastic. I especially enjoyed the weekly quiz structure, which while taxing, greatly assisted my learning process. He is the Man.', 'Super hot. I thought that the class was going to be boring, but it was the best ever.', 'Really seems to enjoy teaching, very helpful and knowledgeable. Will go out of his way to help you understand material. Labs are awesome - you get to play with lots of live animals. Giving weekly quizzes instead of midterms is a great idea, but it means you really have to keep up.', 'No Comments', ""Awesome, awesome, awesome! He's enthusiastic, is engaging, knows an ungodly amount of knowledge on the subject, has collected some of those samples in labs, and overall probably the best bio professor you'll encounter, bio major or not."", ""Very clear, articulate, friendly, brilliant, and organized. Instead of midterms/finals, there are 10 weekly quizzes (better for studying and absorbing material). Labs are fun, and he makes sure you understand what's going on there. bio20184=biodiversity""]"
Iglika Pavlova,female,0,"[""She's interesting.."", 'I had Professor Pavlova for eliminating infectious diseases. the course was pretty interesting and she is a great teacher. She gives a lot of handouts to read.', 'Three words: Bat Sh*t Psycho', 'No Comments', ""Core Bio instructor. Possses rather...unusual sense of humor and uses native Bulgarian idioms. Clearly plays favorites (though I don't know of anyone in her doghouse). Easy, but makes us do a lot of busywork."", 'Oooh yeah!', 'Great teacher! Funny, eager to help, and easy! A very nice twist to the usual boring biology you get in upper level education...', ""Kind of crazy, but a fantastic teacher with a great (if decidedly off-beat) sense of humor. If you're forced to take Core Bio, take it with her--you'll actually enjoy it.""]"
Jonathan Z. Smith,female,1,"[""he clearly knows what he's talking about and he's relatively funny but it's so easy to fall asleep during his classes. take his class if you want, but DO NOT switch into it because you'll be behind in a way you can't recover from. has no email address, rarely answers phone. hard to contact and is not receptive. would not recommend."", 'One of the reasons I became an anthropologist -- not a historian of religions. Will love him forever. Still dream about him years later.', 'This guy is brilliant! I took every class I could from him. He is the reason I miss school.', 'jz smith is god - convert to jz religion and worship him', ""Take a class from him, just to be able to read texts you've seen your whole life in a different way. His exercises and lectures range from critical to creative, giving everyone a chance to shine in class. Office hours are very helpful. He is playful but plays no games at your expense."", ""if you've ever doubted j.z smith's hotness, just look at those teeth. everytime I walk by him, my heart skips a few beats and I stumble over his cane."", 'Take a class from him while you can. I think he was around when the religious myths he teaches were first created.', ""interesting guy, smart as hell but looks like he went to the pub with Moses. his house is CRAZY, but really cool. he seems to know everything, and from him i'd believe it. take a course with him if you can, there may not me too many more chances."", ""Undergrads: Take a class with this prof while you can. Allow yourself to be molded in JZ's image."", ""the man with the plan that you don't understand (but then you go to office hours) booyaka"", 'sexy in a Gandalf sort of way']"
David Bradley,female,0,"[""I've never met a professor more egotistical and full of himself, which one can overlook if the professor were actually brilliant. Bradley, not so much. Lectures were disorganized, and he may or may not show up to class. The class was a waste of time. I would not recommend this class if you can avoid it."", 'I took this class 2 years ago. He was very disorganized and could not stick to the material. The text book helped me pass the class not the professor. He skipped many classes. Other students taught instead of him.', 'Definitely a hot professor. Is it true he was a captain on the wrestling team, and a linebacker on the football team?', 'useless classes. hardly ever shows up and when he does he is unprepared. sloppy and unprofessional.', 'Very good teacher, interesting lectures.', 'David Bradly was one of the best professors I had at U of C. He was very helpful and the most attractive professor ever!', 'David Bradley teaches Sensation and Perception...one of the egregiously few classes (and professors) I actually very much enjoyed.', 'Avoid', 'No Comments', 'No Comments', 'ONE OF THE HOTTEST PROFS AT THE UOFC!!! I WOULD EVEN JUST GO TO CLASS TO STARE AT HIM! YUMMY. REALLY COOL GUY TOO AND GOOD CLASS!']"
Madhav Nori,female,1,"['Clear lectures, hard homework, always available for help!', ""One of the best math teachers you'll ever meet. Austere, graceful and generous. Sorry that he doesn't involve the audience too much. Math is larger than you and I: he presents the material in its integral form and holds the bar at the respectful height. The clarity makes it easy. He means exactly what he says: think it over if it's non trivial."", 'Pitched class at too high a level. Taught an intro undergrad class as if we were grad students. Little understanding of the abilities of students.', 'great professor!! incredibaly talented and very helpful. It was an honor to be in his class.', 'No Comments', ""he's hard and fast but superb prof. mumbles a lot. awesome instructor though. doesn't understand the difficulties some ppl have with the material tho, but a nice guy though!!""]"
Sydney Hans,male,0,"[""She is such a genius in her field! No she's not entertaining, but if you are interested in child development, families, grant writing, attachment, etc. She is excellent!"", 'Knows the material like the back of the hand, but her teaching style is not engaging at all (= boring class). Reading the text is not necessary. She graded my assignments very fairly.', ""Class is okay. She knows a lot about hum development, but the class is a bit unstructured and discussion gets off topic easily. Assignments aren't too hard, although the textbook is way boring."", 'No Comments', 'Has her moments of dullness but does interesting work and teaches an interesting topic worth taking. A little slow and dry but overall an okay experience. She is a sweet sweet lady', ""Sooo lame, and soooo boring, and sooo tedious, and soooo clueless. She knows child psych though, but that's it. she shouldnt teach an intro class"", 'Wonderful teacher, very interesting and knowledgeable, engaging and very sweet', ""What a sweet woman, it's hard to believe someone so nice can give terrible grades to whomever she chooses.""]"
Mike Gibbs,male,1,"['Amazing teacher. Really cares about his students and engages them in unusual ways. He is very accessible. Gives great tests with problems relevant to topics discussed in class with a humorous spin based on jokes from lectures. Easily the best teacher I had in my time at Chicago.', 'Too easy - he shies away from even basic calculus. But a great teacher and clearly explains. Although he has a political skew towards libertarian he is rational and does concede on clear arguments. Overall a top-notch lecturer and great program director.', 'This course is ""too easy""! He doesn\'t provide proofs or give us the strong analytical framework I thought the University of Chicago would require for economics.', 'Extremely helpful. Understands his field very very very well.', 'Great guy and great class material', 'Very passionate about microeconomics. Is extremely humorous in lecture. Tests are very fair. What U of C is all about.']"
Lawrence Zbikowski,female,1,"['Larry was my thesis advisor, and he was fantastic. A lot of professors get their kicks by behaving haughtily or intimidating. Not Larry. Always approachable, and very obviously enthusiastic about the subject matter at hand. And, he actually accepts analyses of popular music as valid, not as ""less than"" those of traditional concert music!', 'Larry was by far the best professor I had as an undergrad. He cares very deeply about his students and is always willing to spend extra time meeting with them.', ""wonderful friend and teacher. i would rate as the best prof i had during my undergrad years. still can't believe he hasn't been bumped up to full prof. yet..."", 'An inspirational teacher in his conceptualization and articulate-ness. One of the department all-stars.', 'Tends to ramble on, but very knowledgeable.']"
Piers Nash,female,1,"[""It's been years since my college days where fun goes to die. I can honestly say that I only remember a handful of professors, and fewer still for being good. Professor Nash was one of the good ones. Perhaps one of the most intelligent and interesting lecturers I have ever met."", ""I decided to major in Biology and get a PhD because of Professor Nash. He opened my eyes to the wonder, complexity and beauty of biology in ways that almost no one else did. I recall my head spinning with excitement after his lectures and realizing how amazing cells are and how little we understand. I'd rank him #1 (or at least top 5) for me, ever."", ""Dude didn't give many lectures (like a set of guest lectures) but they were among the most inspiring about the complexity of biology I ever experienced. TED-esque awesome even remembering from a few years back now."", 'This was a very small course and I felt I learned a lot. But the material was an odd mix and the different professors had very different styles and it felt uneven. Nash was very engaged and had good analogies to tie things together.The other profs were so-so. Mostly I felt the course was an afterthought for most of them. Zhao barely made sense.', ""This was a good course - particularly professor Nash's material. He made me think and I learned a lot. His lectures were well done but the best part were the long conversations at the end of class. He clearly loves teaching and was always willing to hang around, sometimes for an hour, answering questions well beyond the course material. Great."", ""Very helpful and good teacher but only taught the first third. The rest of the course was terrible. Disorganized, boring and annoying. Why don't they just get Nash to teach the whole thing? That would be a much better."", ""I took this course a couple years ago. I liked it at the time well enough. Now a few years out most of the other professors have faded from my mind. Professor Nash is an exception. His keenness, versatility and ability to challenge us on any idea still stick with me. If every professor were this good I'd have gotten so much more out of my BS."", ""Fantastic! He made me think more in one week than all my other med school and grad school professors. Seriously brilliant mind-blowing stuff. Too bad he only taught a small part of the course. He was so much better than the others. I'm really sorry he isn't teaching more. This is what a professor should be."", ""Really engaged and always seemed to care. Great lectures with a voice you could listen to for hours. Asked questions that really made me think about the big picture in cancer. Easily the best prof in this course. I heard he might not be teaching this any more, so I'm glad I took it while he was still involved.""]"
Yau Wah,female,0,"['He confirmed and validated my love in physics. A super teacher and best of all teachers I have known. A model for what college teaching should be.', 'The best professor at U of Chicago. He is funny, witty, and focus.', 'He is great, pretty standard Physics teacher.', ""Worst teacher I've had at this school bar none. Half of his lectures are unrelated to the course ... as well as half of the questions on his tests."", 'Passed judgement on certain students and actually caught him speaking about certain students badly.', 'No Comments']"
Sinan Unver,male,1,"['He is extremely helpful.', 'he is very hot', 'He is obviously bad at teaching.', 'Sinan is awesome', 'Sinan is amazing. He grades hard but he is awesome. Take his class.', 'No Comments', 'No Comments']"
Mark Miller,male,1,"[""i was mobilized to respond to the one negative review. i couldn't disagree more on his usefulness one-on-one. he was extraordinarily helpful to me on my paper--which was, by the way, outside of his immediate research interests. he really makes time for his students. don't miss taking a course with him. he's been the best professor i've had by far."", ""Mark helped to revolutionize the way that I think- about texts, about the world. Engaging lecturer and leads discussions where students feel supported to take intellectual risks but are challenged consistently. Doesn't assign huge loads of reading, but expects you devote a lot of time to what is assigned- depth over quantity. Good paper feedback!"", 'Mark is a good lecturer, but a very poor person to work with on an independent study or project. He is not helpful, un-interested in things outside of his own domain, and does not strike me as a particularly interesting or innovative scholar. I appreciate his working with me, but it was not a good experience and I warn others against doing so.', 'Very lucid and engaging lectures', 'I have more admiration than I can express for Professor Miller as a scholar, teacher, mentor, and human being. His book on Chaucer is excellent. See Sonnet 116...', ""Good class. Entertaining discussions, good class vibe. And he's v. cute.""]"
