Name,Gender,score,comments
Sandy Padwe,female,1,"['Padwe was the best professor when I was at Columbia. He taught an amazing investigative reporting seminar.', 'Personality clash.', ""Prof. Padwe is the best teacher at Columbia. He cares so much about his students, forces you to be at your best, and is always available to you for help. No one cares more about students than he does. If you get him, you've won the lottery. He is amazing, inspiring and a lifelong friend in journalism."", 'He really cares and you will learn a lot.', 'No Comments', 'No Comments', 'He can seem harsh and strict, but is a great teacher you will grow to love. He is serious about what he does and what you will do. He is always available and give great feedback.']"
Richard Howard,male,0,"[""He introduced me to certain poetry, music, and literature that became my favorites. No one ever flattered my poems as well as he--with sensitivity, depth, and enthusiasm. His lectures dissolved me in laughter--he's so witty. I took every classs with him I could. Sure, he's used to being the smartest person in the room: It's usually true."", 'dull dull dull. astoundingly unhelpful and unkind.', 'No Comments', 'the difficulty is putting up with the big head that houses an incredibly narrow mind.', 'No Comments', 'No Comments']"
David Spiro,male,1,"['humorous and entertaining, great lectures. cunning sense of humor and entertaining delivery of a seemingly boring subject. exceptionally knowledgeable and intelligent. get ready to read a lot! must participate in class discussions. must write well. harsh grader of papers.', ""Spiro is a humorous professor who are willing to help. But he doesn't expect simple questions. Concerning the grade, he is not that strict to give you a C even if you've missed some classes. However, A is definitely not easy to get. He is a good professor anyway. I would never feel boring listening to him though some lectures are hard."", ""Spiro was an amazing lecturer. His lectures are really thorough and interesting. There is a lot of reading for the course but not all of them are mandatory. I don't think he usually gives out As, but it won't be hard to get an A-B+ if you work for the mid-termfinal. I would definitely take this class again."", 'His breadth of knowledge is excellent. His unique ability to interweave the history of economic thought and application within a political framework, is by far, his greatest strength. One will have a fundamental understanding of the IPE spectrum upon completion. He has a great sense of humor and is unabashedly forthright.', 'This is a graduate level class. Dr. Spiro has made some really good and interesting points in his lectures, and he is a cool lecturer. However, this is still a hard class with a lot of readings. So think before you take this class.', 'Prof Spiro keeps the class interesting with funny anecdotes. Other students thought he ought to be a stand-up comedian. His lectures seem quite simple, but have a surprising depth. This is not a course on how to be a one percenter. It is more on how to think about the world around us.']"
Christina Araujo,male,1,"[""Araujo made my first semester at an Ivy League seem bearable. In a class of students of 200 plus, she managed to be personable and caring. There were always long lines to speak with her. She's instantly likable and has a different approach to teaching. She engages the class, makes you critically think and laugh out loud while doing it. Love her!!!"", 'Dr. Araujo is an amazing human being. She teaches by example and has an amazing approach to help you problem solve in any situation. The best professor at Columbia- hands and stethoscopes down!!!', 'Excellent professor, skilled at engaging students in meaningful discussion, enriches discussion with well-founded insight and an impressive commitment to teaching.', 'Be warned. Ask those who have had her for courses and integration liaison for opinion and advice. Keep very quiet and do your best to fly under the radar.', 'She is not nice.', 'Dr. Araujo is intelligent regarding the course material and knows exactly how to communicate the information in a way that is both informative and understandable to students. She is an extremely effective lecturer who is able to hold the attention of her students. I am so impressed with her knowledge and lecturing style. What an amazing professor!', 'Really just an amazing professor! She understands how to put things into perspective. Bmrilliantly funny, empathetic, and oh so interesting. Araujo exemplifies the quintessential educator. Everyone loves her class!!!!', ""Great class. Well organized. Strong advocate for women. Understanding when issues come up, she's willing to help you with test taking tips."", ""This professor has her teaching down to a science. The lectures are organized with just the right amount of info on her slides. Class discussions are fun and open. The entire clss environment was delightful. I met with this professor several mornings BEFORE class and she was nothing but accomadating. She's great at putting things into perspective."", 'This professor is awesome!!! So full of life and information. Not only does she help you with anything possible, but you can go to her for study tips, career advise or anything else you need help with because she is that dedicated to her students. She always went above and beyond with the students. LOVED HER, HER NOTES, AND HER ORGANIZED CLASS1111', 'In only five short weeks, Professor Araujo taught our class all about OB, Women\'s Health and Newborns!! She frequently will repeat important information through out the lecture and even did a ""game show quiz-like"" review to make us comfortable with the material. Her lectures are very organized. I also like that she asked us about our clinical exp.', ""Araujo is the best Professor ever!!! We laughed in this class and had a great time...while we were learning. She doesn't try to trick you or act like she is above you. Down to earth, approachable, and clearly an expert in the field. This class didn't last long enough for me. I loved it! I also had Prof Araujo for clinical...I lucked out!!!"", 'araujo was horrible, obnoxious & unreasonable; We will make sure all the prospective students avoid her, she is mean, rude, has no patience, has no recollection how she struggled in school to get where she is; her teaching skills are dreadful!!!', 'I really enjoyed this class and this professor. You actually pay attention in this class because you are not only learning, but being entertained. Lots of tricks to help us remember everything. Araujo is one of my favorite Profs of all time!', 'Excellent teacher. If you pay attention in her class you will learn. Some students complained because she actually requires tht you READ the textbook, but the text in this class was well worth the money. Very dedicated and interesting to watch during lecture. I was never bored in her class, but rather very interested in what was going to be said ne', ""As a guy in a mostly all girl class about OB and women's health, I was surprised how Professor Araujo kept me interested in every topic. She is funny and enthusiastic, which even allowed me to enjoy the 6 hour marathon Mondays. We had a few obnoxious students in our class, but they were no match for Professor Araujo's quick wit. Learned a lot!"", 'I was having a tough time and Professor Araujo really helped me out a lot. I met with her several times for one on one ""extra help"" sessions. She is very dedicated and one of the best Professors Columbia has to offer. Strict, but you will know your stuff when you leave her class. I\'m sad her class is over', 'FUN CLASS! I almost forgot I was learning. Very dedicated, loves students. Keeps the wise guys in check. Breaks every hour are a plus!', ""Thought I would hate this class, but she made me love it. She is very interesting and shares her personal/professional experiences related to the class. Dr.Araujo has total control of the class and she doesn't let the attention seeking question-happy students take over the class. Helps students learn instead of remember. One of the best teachers!"", 'One word. Awesome!!!! Too bad that all professors are not as dedicated as she is.']"
Karl Sigman,male,1,"['Amazing class, super useful for real life. A+++', 'Good.', 'Fantastic Professor- articulates tough concepts well and lightens up otherwise boring statistics courses with good examples and humorous anecdotes.', 'One word - Genious!', 'No Comments', 'I took his classes many years ago as an undergrad. He is fantastic. He made me love statistics. He teaches chanllenging material in modeling and stochastic process but he is great at explaining and very very helpfull. If you study hard, attend lectures, and ask questions, you will get a good grade. Makes his material as easy to digest as possible']"
Nicholas De Genova,female,0,"['Took multiple classes with Professor De Genova. He is, without a doubt, one of the best professors Columbia has ever seen. His scholarly work is exemplary and his commitment to his discipline and the development of his students in unparalleled. Even after leaving, he is still in touch and continues to help through graduate school!', ""I had the pleasure of taking Professor Nicolas De Genova's Latin History & Culture course. I thought he was a fantastic professor! I do not think he is anti-american at all! He was very helpful and approachable, also I guess it helped that he is easy on the eyes."", 'Incredibly knowledgeable about Marx', 'pretends to cares but like most of them is insecure and ambitious little man', 'Shows signgs he endured some sort of Marxist re-education at a low point in his life.', ""very interesting course. he let the seminar do the talking, so he wasn't putting any of his own view on us-- he picked very interesting readings and very approachable when it comes to assignments and office hours"", 'No Comments', 'imposes his warped political views on students. No desire to be objective or make rational arguments', 'No Comments', ""You have the opportunity to study with one of the most intelligent people - go register - you are missing out. Forget the hype and go with an open mind. If the world doesn't look different, something is wrong with you."", 'No Comments', 'he was a great professor! People who bash him usually did bad in the class or did not really understand the purpose of his teachings. His work might be consider controversial, but he is very informative and refreshing.', ""one of the best professors I have encountered in academia. his scholarly work is outstanding, his teaching commited,his commentaries on papers is comprehensive and reflect his dedication. the negative comments of others are clearly politically motivated. He does make his politics clear, but theres no need to worry if you don't agree."", ""Excellent Professor. Excellent Class. Excellent TA's."", 'Great professor.', 'The worst professor at Columbia.', 'a little to the left of Stalin', 'I got an A, so I guess that he is a good prof.', ""what an idiot. doesn't care and it shows. awful teacher, awful class. STAY AWAY!"", ""He's on a soap box for himself, lol. It's not about us...""]"
Joseph Stiglitz,male,0,"['good prof', ""Pretty much a waste of your time. Just read your favorite left wing blog and you have discovered the extent of this man's knowledge. Easy A."", 'Great lectures, great class.', 'No Comments', ""This guy is brilliant, yet he should leave his cynical politics out of the classroom as he obviously hasn't got a clue!"", ""The man's a genius.""]"
Eric Foner,male,1,"['great and very helpful', 'No Comments', ""By far the best class I ever took was Foner's seminar. It made all the**** at Columbia worth the outrageous tuition."", ""inherently fascinating material explained by one of columbia's most prominent public intellectuals"", ""Best teacher I've ever had."", 'Eric Foner is among the very best historians and professors in America - you are a fool if you pass up the opportunity to take a class with him. He is also a nice guy. And unlike most ""famous"" historians, he displays a genuine respect for his st', 'Great writer.']"
Marc Nichanian,male,1,"['His enthusiasm, engagement, effervescence and philosophical energy kept me reading all his assignments, biting my nails at each question, shattered at every revelation regarding subjects ranging from history to mere life. And yet he was so clear with even the most impossible. Rarely can one do that with names like Benjamin, Derrida and Heidegger.', ""Dr. mult. Nichanian is an experience of his own: Never have I met a teacher who's so wonderfully engaged, both with his subject(s) and his students. To know him is to learn from him, what better can one say of a teacher? Why Columbia has a man like him allowed to leave I'll never, never understand: It's a shame for this university!"", ""took his classes a number of years ago, and they are still among the best classes i've taken. Nichanian is great, very intelligent, thought-provoking and really nice to his students."", 'Of my four years at Columbia and four years at Harvard, Prof. Nichanian remains the most dedicated, warm, and inspiring teachers that I have studied with.', ""An exceptional scholar, a wonderful human being. Prof. Nichanian is one of the few professors that I know who has the ability to bring together students from all disciplines, languages, backgrounds. Columbia needs to bring him back, as he is a much needed voice for today's scholarship in Armenian""]"
Jarron Magallanes,male,1,"['PLEASE TAKE HIM IF YOU LIKE GETTING As - Hands down one of the BEST professors you can ever get in grad school. Allows you to learn the material at your pace and extremely understanding of anything. P.S I started taking him since foundation of social work.', 'I completely adore Prof. Magallanes. He is such a great prof and cares so much about his students doing well. I highly recommend him for clinical case evaluation, and hope to take more of his classes in the future! Extremely helpful and always there for his students! Clear cut grading scale as well!', 'This is my second class with Jarron and I have to say that he has the ability to engage the class and make research fun and accessible. He is truly one of my favorite professors at the school.', 'Prof. Magallanes is awesome. He makes the class interesting and is a great teacher.', ""Prof. Jarron is one of the best professors I have ever had. He goes above and beyond to be a supportive pillar for his students. I reached out to him on weekends and he responded promptly. He makes a 3 hour class interesting. I absolutely adore him and you will too. The whole class loves him. I am taking his class again next term. Don't miss out!"", 'LOVE LOVE LOVE HIM. So helpful in and outside of class.', 'As an international student professor Magallanes was very helpful to me outside of class to help me understand the course better']"
Don McVinney,female,0,"['Never finished on time or any of the slides', 'This is for CSI majors. I found the class to be not productive and quite average.', 'Funny, but repetitious. Too focused on substance abuse. Absolutely incapable of ending class on time.', 'No Comments']"
Delphine Taylor,male,1,"['AMAZING!', 'great!!!', 'No Comments', 'a very kind, reasonable person.', ""The course has tons of logisitical problems but you can tell Dr. Taylor is trying to work on it. I think she's a great course director and respect her efforts to change the structure of CP.""]"
Homayoon Beigi,female,1,"['good', ""I don't have a strong background in Info theory and math, so I have to study hard (really hard) for that part of the material. Luckily, Professor Beigi is super knowledgable; his lecture and book cover everything in detail. The knowledge covered by the course is about three times more than regular course. You will learn A LOT if you want to."", 'Prof. Beigi is by far one of the most inspirational people you can hope to come across. He teaches the course with passion & genuinely cares about advancing the knowledge of students. Morn, night, holiday or not, he works tirelessly to answer queries. I highly recommend his lectures. Also, he truly cares that you do well in life. A gem of a person!', 'Professor Beigi is one of the smartest and most approachable professors I have met at Columbia. He genuinely wants his students to learn, and his passion for speech recog is apparent. His office hours are strongly attended as he sits with students one-on-one to make sure theyre on track. He is a very well-liked and respected professor on campus.', ""Heard of walking-talking encyclopedia? This is him! He was THE most knowledgeable professor I have seen in Columbia. From signal processing to machine learning to NLP - he's got it all in his head. Lemme demonstrate how helpful he is: He would take your laptop to save your life and fix your problems AND explain what went wrong. Respect!"", 'Professor Homayoon Beigi had the patience to explain key concepts and guide me throughout the semester. The content was really intimidating at first but I started to understand key concepts as the semester progressed. This was one of the best classes with a mix of both practice and theory. He has real passion for the subject area. Rare in sch', 'Professor Beigi is the most brilliant professor I have had so far! He is extremely knowledgeable on many different topics, which is great for such a multidisciplinary course. He is very approachable and unbelievably kind, with great drive to make sure everyone understands every bit of material. His textbook is superb and a great reference.', 'As a grad student who has switched my major/school twice, and while having interacted with many student peers, many in his course, I can only convey the real sense of appreciation we all have toward his Witt,intellect, multi-levels of knowledge.. from fundamental sciences to engineering &entrepreneurship. super bright & one of a kind indeed!', ""I haven't met many professors here or elsewhere who take a genuine interest in their students, which is honestly why I remain enrolled. It's one of the few courses where the professor's enthusiasm and passion for the subject matter was contagious.""]"
Robin Gearing,male,1,"['Best teacher at Columbia. Take him.', 'I would recommend taking a class with him.', 'best professor i had at columbia!!', 'Robin is a great teacher and really cares about his students learning and gaining valuable clinical skills. He made sitting in a 3 hour class enjoyable. My favorite professor at CUSSW so far.', 'Excellent prof. Engages class, even those who are anti-clinical. Trains students in applicable skills. Best prof I had in first year courses.', 'Gearing is very personable and straight to the point. He speaks from both his experience and his education, and he does not sugar coat anything. Gearing has a real passion for his field, and he infuses it into his students. One of my favorite professors at CUSSW.', 'Robin makes class interesting and fun- he is very engaging. He explains the material clearly with examples from his own practice.']"
Joseph Slaughter,male,1,"['You will be required to read a book a week, along with supplemental supporting texts. Class discussions are left up to the students, with minimal interjections from Prof. Slaughter. Great material covered, but very little instruction. He can be highly critical and picky at times, but overall an interesting course.', 'life-changing', 'great teacher', 'Easier than he seems - brilliant, fun, but a little prickly. I learned a lot and he teaches really interesting courses.', 'class is not easy, but if you work you will be rewarded with some of the most provocative ideas', 'No Comments']"
Luis Gravano,male,1,"['amazing class', 'He is very good prof. Fair to everyone! And I love his assignments(projects) and exams :) Great going Luis! And yea, amazing sense of humor!!!!', 'He is the best professor I ever had!!', 'One of the best professors I ever had. He was engaged, prepared and seemed to care about teaching. He was quick to respond to emails and provide feedback. He also has a great sense of humor which made sitting through some dull material a little better.', ""One of the best professors I've ever had. Both as an undergrad and a graduate. There are not many professors as good and helpful as Professor Gravano in any university I've attended."", 'Cutie!!! Interesting projects, but a bit too much sometimes.', 'Excellent professor! Very clear in lectures and found problem sets doable yet challanging.']"
Edward Mendelson,male,1,"[""He's a genius. However, he's getting old and he repeats himself a lot, and sometimes his instructions are a little confusing. But he will always try hard to explain better if you ask. He really knows his stuff, but he wants you to really put your all into the class, especially the essays."", 'Mostly awesome lectures about Virginia Woolf. Never thought I would care. But I did.', ""One of the reasons I came to Columbia University. Intense teacher, good readings, spent a lot of time on our writing. Easy to talk to. Doesn't read from notes, so not always tightly organized. A good one, all in all."", 'Pretty easy-going, esp. about grading and deadlines. Some lectures were exciting and intense, but not always. Very sharp and quick, lots of information, likes dialoging with students. I liked this class.', ""He is by far the dumbest guy in the Columbia English department, and this makes him insecure. He is so condescending, that he will correct your grammer in a nasty way that makes you so nervous, you can't even get your comment/question out. Also, you can't go to the bathroom during class, wear a hat, click your pen or come in a minute late."", 'i highly recommend this proff, especially this class. He had a passion for the novels, and he taught eagerly and happily for our sake, with a real desire for us to not only comprehend the importance of these works, but to enjoy them. loved it!', 'Hands down the best professor with the best material in not only the English department, but the entire university']"
David Blum,male,1,"['Blum is an impassioned teacher with high standards. I learned a lot. Very funny, too.', 'Horrible class, completely inarticulate, and a joke to the j-school.', 'Blum is amazing. He really knows how to inspire you with his honesty. Very funny, too. Younger and cooler than most of the j-school profs.', ""Blum is funny and laid back, but he'll make you think and he'll give you as much time as you need. He'll improve your writing -- and your confidence in yourself."", 'No Comments', 'No Comments', 'No Comments']"
Bruce Robbins,male,0,"['This professor is beyond redemption.No one can save him.', ""Bruce is very political. He's also intimidatingly smart. This may account for some of the people who have problems with him. But he's also extremely kind. And he genuinely respects people who argue with him."", ""This professor doesn't have ANY respect for students' capacity to form their own opinions. In addition, he has absolutely no sense of humor. If what he has to say would compensate for at least part of his embarrassing self-righteousness, his class might be somewhat bearable, but unfortunately it doesn't."", 'Modern Comparative Fiction - The course is excellent because of the books, not the prof. Seems like a nice guy, but distant, somewhat snobbish and likes to hear himself talk. The exams also had some obscure and random questions. Still a good course for the novels and it is relatively easy to get a good grade.', ""What are you talking about!? He was the best English professor I had at Columbia. He doesn't try to be cool...HE IS COOL!"", ""made my flesh creep. he wants followers, sohe'll suck up to you if you buy into the warmed-over ideology he's peddling, but otherwise the pits"", 'Bruce is awesome. Don\'t rag on him because he is the smartest man i\'ve ever met. Who says ""orc""?', 'kind of dumb, hides out behind ""theory""', 'an orc with a ph.d', 'tries to be trendy as sh*t, oozes political correctness. avoid']"
Enrique Walker,male,1,"['Best studio ever, favorite professor ever.', 'Brilliant and utmost kind. Enrique is a role model for every student that has studied under his guidance. Columbia is lucky to have him.', 'Enrique is the most inspiring and intelligent teacher I have ever encountered, delicately yet effectively creating the conditions for students to engage with architecture (as well literature and art) in ways that catalyzed swerves in their intellectual trajectory and enriched the way they perceive the discipline but everything beyond it too', 'the best in terms of balancing academia and practice in architecture his pedagogical approach. huge learning curve, great conversations and a very pleasant time in his studio.', 'So nice. Great studio. Enrique is very smart and also a darling person, I enjoyed studying with him very much', 'He is a an amazing professor and a credit to GSAPP. Very intelligent, has great topics for seminars and insightful agenda and feedback for studio. Very sympathetic to his students and respectful to his colleagues (a rarity in the Ivy League)', 'He is a very dedicated and very smart professor. He is sympathetic to the students, very very nice and yet very demanding, in his way. But he is so kind and smart that his manner makes you want to work harder, it becomes very engaging. Has all these whimsical ideas with references from literature, film and art. Wonderful']"
William Harris,male,1,"[""Dr. Harris is definitely knowledgable but he covers far too much information for it to be possible to learn it all. I took this out of interest but I found myself frustrated almost every lecture. His slides do not help to clarify the information. I wish I had dropped the class. If you really like history and can commit, you'll probably enjoy it."", ""By far the best class while I was at Columbia. Dr. Harris is amazingly knowledgeable and skilled at lecturing, the materials for the class were great (like the other rater said--primary sources! but also a good text). I never missed a single lecture and I never laughed so hard as in his class. His humor's a testament to his intelligence. ROME!!!"", ""he's knowledgeable and interesting to listen to. he's an excellent teacher."", 'As a history teacher today, I thanbk Dr. Harris for teaching history as it should be; with analysis of primary sources, disussions centered around reliability, interpretations and validity of historical evidence. His teaching did not leave anyone behind.', 'the best guy to go to if you want to learn the history of Rome']"
Maura Spiegel,male,0,"[""And she'll never write a book. What a joke."", ""As a teacher, she changed my life. Absolutely brilliant. A shame she hasn't written a book on literature yet. I'd be the first to buy it. Plus, she actually knows how to teach- fostering brilliance in her students as well as revealing her own."", 'Has no scholarship to speak of, and it shows.', 'Non-pareil', 'No Comments', 'Why in the world is someone with her credentials teaching at Columbia? It shows. What a waste of time and money.', 'Maura is fantastic.', 'No Comments', 'Superficial', 'Incredible teacher, smart, clear. Has interesting points of view and ties her curriculum together nicely. Loved learning from her.', ""I looked for her scholarship but couldn't find anything. Figures."", 'No Comments', 'Superficial; lacks her own ideas', 'very nice prof, not the most dynamic class... maybe it was just my year. Almost all girls. She was very helpful, though. I saw her on the history channel once, talking about the history of cleavage or something. Interesting.', 'She is phenomenal. Respects student opinions, presents brilliant interpretations of texts, and is laid back and approachable. Wonderful person and teacher.']"
